Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
Hot Tub Time Machine 2,Paramount Pictures,R,2015,4.9,"When Lou, who has become the ""father of
the Internet,"" is shot by an unknown
assailant, Jacob and Nick fire up the
time machine again to save their friend.",Comedy,2/20/2015,Josh Heald,1:39:15,Steve Pink,"Rob Corddry - Craig Robinson - Clark
Duke"
Hotel Transylvania,Columbia Pictures,PG,2012,6.8,"Dracula, who operates a high-end resort
away from the human world, goes into
overprotective mode when a boy discovers
the resort and falls for the count's
teen-aged daughter.",Animation - Comedy - Family,9/27/2012,Dan Hageman,1:31:31,Genndy Tartakovsky,"Adam Sandler - Steve Buscemi - David
Spade"
Hotel Transylvania 2,Columbia Pictures,PG,2015,6.7,"When the old-old-old-fashioned vampire
Vlad arrives at the hotel for an
impromptu family get-together, Hotel
Transylvania is in for a collision of
supernatural old-school and modern day
cool.",Animation - Comedy - Family,9/25/2015,Dan Hageman - Kevin Hageman,1:29:18,Genndy Tartakovsky,"Adam Sandler - Andy Samberg - Selena
Gomez"
How the Grinch Stole Christmas,Imagine Entertainment,PG,2000,6.1,"Inside a snowflake exists the magical
land of Whoville. In Whoville, live the
Whos, an almost mutated sort of
Munchkin-like people. All the Whos love
Christmas, yet just outside of their
beloved Whoville lives the Grinch. The
Grinch is a nasty creature that hates
Christmas, and plots to steal it away
from the Whos, whom he equally abhors.
Yet a small child, Cindy Lou Who,
decides to try befriending the Grinch.",Family - Comedy - Fantasy,11/17/2000,Jeffrey Price - Peter S. Seaman,1:45:03,Ron Howard,"Jim Carrey - Taylor Momsen - Jeffrey
Tambor"
How to Train Your Dragon,DreamWorks Animation,PG,2010,7.5,"As the son of a Viking leader on the
cusp of manhood, shy Hiccup Horrendous
Haddock III faces a rite of passage: he
must kill a dragon to prove his warrior
mettle. But after downing a feared
dragon, he realizes that he no longer
wants to destroy it, and instead
befriends the beast – which he names
Toothless – much to the chagrin of his
warrior father",Fantasy - Adventure - Animation,3/26/2010,"Will Davies - Dean DeBlois - Chris
Sanders",1:37:51,Dean DeBlois - Chris Sanders,"Jay Baruchel - Gerard Butler - Craig
Ferguson"
How to Train Your Dragon 2,DreamWorks Animation,PG,2014,7.7,"The thrilling second chapter of the epic
How To Train Your Dragon trilogy brings
back the fantastical world of Hiccup and
Toothless five years later. While
Astrid, Snotlout and the rest of the
gang are challenging each other to
dragon races (the island's new favorite
contact sport), the now inseparable pair
journey through the skies, charting
unmapped territories and exploring new
worlds. When one of their adventures
leads to the discovery of a secret ice
cave that is home to hundreds of new
wild dragons and the mysterious Dragon
Rider, the two friends find themselves
at the center of a battle to protect the
peace.",Fantasy - Action - Adventure,6/13/2014,Dean DeBlois,1:42:13,Dean DeBlois,"Jay Baruchel - Gerard Butler - Kristen
Wiig"
The Hunger Games: Catching Fire,Lionsgate,PG-13,2013,7.4,"Katniss Everdeen has returned home safe
after winning the 74th Annual Hunger
Games along with fellow tribute Peeta
Mellark. Winning means that they must
turn around and leave their family and
close friends, embarking on a ""Victor's
Tour"" of the districts. Along the way
Katniss senses that a rebellion is
simmering, but the Capitol is still very
much in control as President Snow
prepares the 75th Annual Hunger Games
(The Quarter Quell) - a competition that
could change Panem forever.",Adventure - Action - Science Fiction,11/22/2013,Simon Beaufoy - Michael Arndt,2:26:14,Francis Lawrence,"Jennifer Lawrence - Josh Hutcherson -
Liam Hemsworth"
The Hunger Games: Mockingjay - Part 1,Lionsgate,PG-13,2014,6.6,"Katniss Everdeen reluctantly becomes the
symbol of a mass rebellion against the
autocratic Capitol.",Science Fiction - Adventure - Thriller,11/21/2014,Danny Strong - Peter Craig,1:57:48,Francis Lawrence,"Jennifer Lawrence - Josh Hutcherson -
Liam Hemsworth"
The Hunger Games: Mockingjay - Part 2,Studio Babelsberg,PG-13,2015,6.6,"With the nation of Panem in a full scale
war, Katniss confronts President Snow in
the final showdown. Teamed with a group
of her closest friends – including Gale,
Finnick, and Peeta – Katniss goes off on
a mission with the unit from District 13
as they risk their lives to stage an
assassination attempt on President Snow
who has become increasingly obsessed
with destroying her. The mortal traps,
enemies, and moral choices that await
Katniss will challenge her more than any
arena she faced in The Hunger Games.",Action - Adventure - Science Fiction,11/16/2015,Danny Strong - Peter Craig,2:16:54,Francis Lawrence,"Jennifer Lawrence - Josh Hutcherson -
Liam Hemsworth"
Ice Age,Twentieth Century Fox Film Corporation,PG,2002,7,"With the impending ice age almost upon
them, a mismatched trio of prehistoric
critters – Manny the woolly mammoth,
Diego the saber-toothed tiger and Sid
the giant sloth – find an orphaned
infant and decide to return it to its
human parents. Along the way, the
unlikely allies become friends but, when
enemies attack, their quest takes on far
nobler aims.",Animation - Comedy - Family,3/12/2002,"Michael Berg - Michael J. Wilson - Peter
Ackerman",1:21:09,Chris Wedge - Carlos Saldanha,"Ray Romano - John Leguizamo - Denis
Leary"
Ice Age: Collision Course,Blue Sky Studios,PG,2016,5.5,"Set after the events of Continental
Drift, Scrat's epic pursuit of his
elusive acorn catapults him outside of
Earth, where he accidentally sets off a
series of cosmic events that transform
and threaten the planet. To save
themselves from peril, Manny, Sid,
Diego, and the rest of the herd leave
their home and embark on a quest full of
thrills and spills, highs and lows,
laughter and adventure while traveling
to exotic new lands and encountering a
host of colorful new characters.",Adventure - Animation - Family,7/22/2016,Michael J. Wilson,1:34:32,Mike Thurmeier - Galen T. Chu,"Ray Romano - John Leguizamo - Denis
Leary"
Idiocracy,Twentieth Century Fox Film Corporation,R,2006,6.3,"To test its top-secret Human Hibernation
Project, the Pentagon picks the most
average Americans it can find - an Army
private and a prostitute - and sends
them to the year 2505 after a series of
freak events. But when they arrive, they
find a civilization so dumbed-down that
they're the smartest people around.",Adventure - Comedy - Science Fiction,9/1/2006,Mike Judge - Mike Judge - Etan Cohen,1:24:12,Mike Judge,Luke Wilson - Maya Rudolph - Dax Shepard
The Imitation Game,Black Bear Pictures,PG-13,2014,8,"Based on the real life story of
legendary cryptanalyst Alan Turing, the
film portrays the nail-biting race
against time by Turing and his brilliant
team of code-breakers at Britain's top-
secret Government Code and Cypher School
at Bletchley Park, during the darkest
days of World War II.",History - Drama - Thriller,8/29/2014,Graham Moore,1:54:13,Morten Tyldum,"Benedict Cumberbatch - Keira Knightley -
Matthew Goode"
In the Heart of the Sea,Imagine Entertainment,PG-13,2015,6.5,"In the winter of 1820, the New England
whaling ship Essex was assaulted by
something no one could believe: a whale
of mammoth size and will, and an almost
human sense of vengeance.  The real-life
maritime disaster would inspire Herman
Melville’s Moby Dick.  But that told
only half the story.  “Heart of the Sea”
reveals the encounter’s harrowing
aftermath, as the ship’s surviving crew
is pushed to their limits and forced to
do the unthinkable to stay alive.
Braving storms, starvation, panic and
despair, the men will call into question
their deepest beliefs, from the value of
their lives to the morality of their
trade, as their captain searches for
direction on the open sea and his first
mate still seeks to bring the great
whale down.",Thriller - Drama - Adventure,12/7/2015,Charles Leavitt,2:01:43,Ron Howard,"Chris Hemsworth - Benjamin Walker -
Cillian Murphy"
The Incredibles,Walt Disney Pictures,PG,2004,7.3,"Bob Parr has given up his superhero days
to log in time as an insurance adjuster
and raise his three children with his
formerly heroic wife in suburbia. But
when he receives a mysterious
assignment, it's time to get back into
costume.",Action - Adventure - Animation,11/5/2004,Brad Bird,1:55:25,Brad Bird,"Craig T. Nelson - Holly Hunter - Samuel
L. Jackson"
Independence Day: Resurgence,Twentieth Century Fox Film Corporation,PG-13,2016,4.9,"We always knew they were coming back.
Using recovered alien technology, the
nations of Earth have collaborated on an
immense defense program to protect the
planet. But nothing can prepare us for
the aliens’ advanced and unprecedented
force. Only the ingenuity of a few brave
men and women can bring our world back
from the brink of extinction.",Action - Adventure - Science Fiction,6/24/2016,"Dean Devlin - Roland Emmerich - Nicolas
Wright",2:00:11,Roland Emmerich,"Liam Hemsworth - Jeff Goldblum - Bill
Pullman"
Inside Out,Walt Disney Pictures,PG,2015,8,"Growing up can be a bumpy road, and it's
no exception for Riley, who is uprooted
from her Midwest life when her father
starts a new job in San Francisco. Like
all of us, Riley is guided by her
emotions - Joy, Fear, Anger, Disgust and
Sadness. The emotions live in
Headquarters, the control center inside
Riley's mind, where they help advise her
through everyday life. As Riley and her
emotions struggle to adjust to a new
life in San Francisco, turmoil ensues in
Headquarters. Although Joy, Riley's main
and most important emotion, tries to
keep things positive, the emotions
conflict on how best to navigate a new
city, house and school.",Drama - Comedy - Animation,6/4/2015,Meg LeFauve - Josh Cooley - Pete Docter,1:34:34,Pete Docter,"Amy Poehler - Phyllis Smith - Richard
Kind"
Insurgent,Summit Entertainment,PG-13,2015,6.2,"Beatrice Prior must confront her inner
demons and continue her fight against a
powerful alliance which threatens to
tear her society apart.",Adventure - Science Fiction - Thriller,3/20/2015,"Brian Duffield - Akiva Goldsman - Mark
Bomback",1:59:17,Robert Schwentke,"Shailene Woodley - Theo James - Kate
Winslet"
Interstellar,Paramount Pictures,PG-13,2014,8,"Interstellar chronicles the adventures
of a group of explorers who make use of
a newly discovered wormhole to surpass
the limitations on human space travel
and conquer the vast distances involved
in an interstellar voyage.",Adventure - Drama - Science Fiction,11/5/2014,Christopher Nolan - Jonathan Nolan,2:49:03,Christopher Nolan,"Matthew McConaughey - Jessica Chastain -
Anne Hathaway"
Into the Woods,Walt Disney Pictures,PG,2014,5.6,"In a woods filled with magic and fairy
tale characters, a baker and his wife
set out to end the curse put on them by
their neighbor, a spiteful witch.",Fantasy - Comedy - Music,12/25/2014,James Lapine,2:04:45,Rob Marshall,"Meryl Streep - Emily Blunt - James
Corden"
Ip Man 3,Mandarin Films Distribution Co.,PG-13,2016,6.4,"When a band of brutal gangsters led by a
crooked property developer make a play
to take over the city, Master Ip is
forced to take a stand.",Action - Drama - History,1/22/2016,"Lai-yin Leung - Chan Tai-Li - Edmond
Wong",1:44:41,Wilson Yip,Donnie Yen - Lynn Hung - Zhang Jin
The Iron Giant,Warner Bros. Animation,PG,1999,7.6,"In the small town of Rockwell, Maine in
October 1957, a giant metal machine
befriends a nine-year-old boy and
ultimately finds its humanity by
unselfishly saving people from their own
fears and prejudices.",Adventure - Animation - Family,8/6/1999,Brad Bird - Tim McCanlies,1:26:32,Brad Bird,"Eli Marienthal - Jennifer Aniston - Vin
Diesel"
Its Your 50th Christmas Charlie Brown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:42:03,N/A,N/A
Iudmckdhforiv2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:01:01,N/A,N/A
Jack Ryan: Shadow Recruit,Paramount Pictures,PG-13,2014,5.9,"Jack Ryan, as a young covert CIA
analyst, uncovers a Russian plot to
crash the U.S. economy with a terrorist
attack.",Action - Drama - Thriller,1/17/2014,Adam Cozad - David Koepp,1:45:32,Kenneth Branagh,"Chris Pine - Keira Knightley - Kevin
Costner"
Jack-Jack Attack,Walt Disney Pictures,G,2005,7.3,"Kari the babysitter thinks she's in for
a night of routine babysitting. She's
prepared to provide neurological
stimulation with some soothing musical
accompaniment for little Jack-Jack, the
smallest member of the incredible Parr
family. Little does she know that Jack-
Jack will teach her a thing or two about
babies with ""special needs.""",Adventure - Animation - Family,3/15/2005,Brad Bird,0:04:44,Brad Bird,Bud Luckey - Eli Fucile - Jason Lee
John Wick,Summit Entertainment,R,2014,7,"Ex-hitman John Wick comes out of
retirement to track down the gangsters
that took everything from him.",Action - Thriller,10/24/2014,Derek Kolstad,1:41:12,Chad Stahelski - David Leitch,"Keanu Reeves - Michael Nyqvist - Alfie
Allen"
John Wick: Chapter 2,Thunder Road Pictures,R,2017,6.5,"John Wick is forced out of retirement by
a former associate looking to seize
control of a shadowy international
assassins’ guild. Bound by a blood oath
to aid him, Wick travels to Rome and
does battle against some of the world’s
most dangerous killers.",Thriller - Action - Crime,1/30/2017,Derek Kolstad,1:57:30,Chad Stahelski,"Keanu Reeves - Common - Laurence
Fishburne"
Jumanji,TriStar Pictures,PG,1995,6.8,"When siblings Judy and Peter discover an
enchanted board game that opens the door
to a magical world, they unwittingly
invite Alan -- an adult who's been
trapped inside the game for 26 years --
into their living room. Alan's only hope
for freedom is to finish the game, which
proves risky as all three find
themselves running from giant
rhinoceroses, evil monkeys and other
terrifying creatures.",Adventure - Fantasy - Family,12/15/1995,"Jonathan Hensleigh - Greg Taylor - Jim
Strain",1:44:06,Joe Johnston,"Robin Williams - Jonathan Hyde - Kirsten
Dunst"
The Jungle Book,Walt Disney Pictures,PG,2016,6.7,"After a threat from the tiger Shere Khan
forces him to flee the jungle, a man-cub
named Mowgli embarks on a journey of
self discovery with the help of panther,
Bagheera, and free spirited bear, Baloo.",Adventure - Drama - Fantasy,4/4/2016,Justin Marks,1:45:54,Jon Favreau,Neel Sethi - Bill Murray - Ben Kingsley
Jurassic World,Universal Studios,PG-13,2015,6.5,"Twenty-two years after the events of
Jurassic Park, Isla Nublar now features
a fully functioning dinosaur theme park,
Jurassic World, as originally envisioned
by John Hammond.",Action - Adventure - Science Fiction,6/9/2015,"Rick Jaffa - Amanda Silver - Derek
Connolly",2:04:21,Colin Trevorrow,"Chris Pratt - Bryce Dallas Howard -
Irrfan Khan"
Kick-Ass 2,Universal Pictures,R,2013,6.3,"After Kick-Ass’ insane bravery inspires
a new wave of self-made masked
crusaders, he joins a patrol led by the
Colonel Stars and Stripes. When these
amateur superheroes are hunted down by
Red Mist — reborn as The Mother Fucker —
only the blade-wielding Hit-Girl can
prevent their annihilation.",Action - Adventure - Crime,8/16/2013,"Mark Millar - John Romita Jr. - Jeff
Wadlow",1:43:00,Jeff Wadlow,"Aaron Taylor-Johnson - Chloë Grace
Moretz - Christopher Mintz-Plasse"
Kingsman: The Secret Service,Twentieth Century Fox Film Corporation,R,2014,7.6,"The story of a super-secret spy
organization that recruits an unrefined
but promising street kid into the
agency's ultra-competitive training
program just as a global threat emerges
from a twisted tech genius.",Crime - Comedy - Action,12/13/2014,Jane Goldman - Matthew Vaughn,2:08:37,Matthew Vaughn,"Taron Egerton - Colin Firth - Samuel L.
Jackson"
Kong: Skull Island,Warner Bros.,PG-13,2017,6.1,"Explore the mysterious and dangerous
home of the king of the apes as a team
of explorers ventures deep inside the
treacherous, primordial island.",Action - Adventure - Fantasy,3/10/2017,Max Borenstein - Dan Gilroy,1:58:21,Jordan Vogt-Roberts,"Tom Hiddleston - Samuel L. Jackson -
Brie Larson"
Kubo and the Two Strings,Laika Entertainment,PG,2016,7.7,"Kubo mesmerizes the people in his
village with his magical gift for
spinning wild tales with origami. When
he accidentally summons an evil spirit
seeking vengeance, Kubo is forced to go
on a quest to solve the mystery of his
fallen samurai father and his mystical
weaponry, as well as discover his own
magical powers.",Animation - Adventure - Family,8/19/2016,Marc Haimes - Chris Butler,1:41:36,Travis Knight,"Art Parkinson - Charlize Theron - Rooney
Mara"
Kung Fu Panda,DreamWorks Animation,PG,2008,6.9,"When the Valley of Peace is threatened,
lazy Po the panda discovers his destiny
as the ""chosen one"" and trains to become
a kung fu hero, but transforming the
unsleek slacker into a brave warrior
won't be easy. It's up to Master Shifu
and the Furious Five -- Tigress, Crane,
Mantis, Viper and Monkey -- to give it a
try.",Adventure - Animation - Family,6/5/2008,Glenn Berger - Jonathan Aibel,1:32:09,Mark Osborne - John Stevenson,"Jack Black - Dustin Hoffman - Angelina
Jolie"
Kung Fu Panda 2,DreamWorks Animation,PG,2011,6.7,"Po is now living his dream as The Dragon
Warrior, protecting the Valley of Peace
alongside his friends and fellow kung fu
masters, The Furious Five - Tigress,
Crane, Mantis, Viper and Monkey. But
Po’s new life of awesomeness is
threatened by the emergence of a
formidable villain, who plans to use a
secret, unstoppable weapon to conquer
China and destroy kung fu. It is up to
Po and The Furious Five to journey
across China to face this threat and
vanquish it. But how can Po stop a
weapon that can stop kung fu? He must
look to his past and uncover the secrets
of his mysterious origins; only then
will he be able to unlock the strength
he needs to succeed.",Animation - Family,5/25/2011,Jonathan Aibel - Glenn Berger,1:30:23,Jennifer Yuh Nelson,"Jack Black - Angelina Jolie - Dustin
Hoffman"
Kung Fu Panda 3,Twentieth Century Fox Film Corporation,PG,2016,6.6,"Continuing his ""legendary adventures of
awesomeness"", Po must face two hugely
epic, but different threats: one
supernatural and the other a little
closer to his home.",Action - Adventure - Animation,1/29/2016,Jonathan Aibel - Glenn Berger,1:35:03,Jennifer Yuh Nelson - Alessandro Carloni,"Jack Black - Bryan Cranston - Dustin
Hoffman"
La La Land,Summit Entertainment,PG-13,2016,7.8,"Mia, an aspiring actress, serves lattes
to movie stars in between auditions and
Sebastian, a jazz musician, scrapes by
playing cocktail party gigs in dingy
bars, but as success mounts they are
faced with decisions that begin to fray
the fragile fabric of their love affair,
and the dreams they worked so hard to
maintain in each other threaten to rip
them apart.",Comedy - Drama - Music,9/2/2016,Damien Chazelle,2:08:05,Damien Chazelle,Ryan Gosling - Emma Stone - John Legend
Legend,Working Title Films,R,2015,6.7,"Suave, charming and volatile, Reggie
Kray and his unstable twin brother
Ronnie start to leave their mark on the
London underworld in the 1960s. Using
violence to get what they want, the
siblings orchestrate robberies and
murders while running nightclubs and
protection rackets. With police
Detective Leonard ""Nipper"" Read hot on
their heels, the brothers continue their
rapid rise to power and achieve tabloid
notoriety.",Crime - Thriller,10/29/2015,Brian Helgeland,2:05:34,Brian Helgeland,"Tom Hardy - Emily Browning - Christopher
Eccleston"
The Lego Batman Movie,Lin Pictures,PG,2017,7.2,"In the irreverent spirit of fun that
made “The Lego Movie” a worldwide
phenomenon, the self-described leading
man of that ensemble—Lego Batman—stars
in his own big-screen adventure. But
there are big changes brewing in Gotham,
and if he wants to save the city from
The Joker’s hostile takeover, Batman may
have to drop the lone vigilante thing,
try to work with others and maybe, just
maybe, learn to lighten up.",Fantasy - Action - Animation,2/10/2017,"Chris McKenna - Erik Sommers - Seth
Grahame-Smith",1:44:28,Chris McKay,"Will Arnett - Zach Galifianakis -
Michael Cera"
The Lego Movie,Village Roadshow Pictures,PG,2014,7.5,"An ordinary Lego mini-figure, mistakenly
thought to be the extraordinary
MasterBuilder, is recruited to join a
quest to stop an evil Lego tyrant from
gluing the universe together.",Adventure - Animation - Comedy,2/7/2014,Christopher Miller - Phil Lord,1:40:33,Phil Lord - Christopher Miller,"Chris Pratt - Elizabeth Banks - Will
Ferrell"
The Lion King,Walt Disney Pictures,G,1994,7.9,"A young lion cub named Simba can't wait
to be king. But his uncle craves the
title for himself and will stop at
nothing to get it.",Family - Animation - Drama,6/23/1994,"Linda Woolverton - Jonathan Roberts -
Irene Mecchi",1:28:23,Roger Allers - Rob Minkoff,"Jonathan Taylor Thomas - Matthew
Broderick - James Earl Jones"
The Little Mermaid,Walt Disney Pictures,G,1989,7.2,"This colorful adventure tells the story
of an impetuous mermaid princess named
Ariel who falls in love with the very
human Prince Eric and puts everything on
the line for the chance to be with him.
Memorable songs and characters --
including the villainous sea witch
Ursula.",Animation - Family,11/15/1989,"Hans Christian Andersen - John Musker -
Ron Clements",1:22:48,Ron Clements - John Musker,"Jodi Benson - Christopher Daniel Barnes
- Jason Marin"
Logan,Twentieth Century Fox Film Corporation,R,2017,7.5,"In the near future, a weary Logan cares
for an ailing Professor X in a hide out
on the Mexican border. But Logan's
attempts to hide from the world and his
legacy are up-ended when a young mutant
arrives, being pursued by dark forces.",Action - Drama - Science Fiction,3/3/2017,"Michael Green - Scott Frank - James
Mangold",2:17:45,James Mangold,"Hugh Jackman - Patrick Stewart - Dafne
Keen"
The Lorax,Universal Pictures,PG,2012,6.3,"A 12-year-old boy searches for the one
thing that will enable him to win the
affection of the girl of his dreams. To
find it he must discover the story of
the Lorax, the grumpy yet charming
creature who fights to protect his
world.",Animation - Family,3/1/2012,Cinco Paul - Ken Daurio,1:26:18,Chris Renaud - Kyle Balda,Zac Efron - Danny DeVito - Taylor Swift
"The Lord of the Rings Extended III: The
Return of the King",WingNut Films,PG-13,2003,8,"Aragorn is revealed as the heir to the
ancient kings as he, Gandalf and the
other members of the broken fellowship
struggle to save Gondor from Sauron's
forces. Meanwhile, Frodo and Sam bring
the ring closer to the heart of Mordor,
the dark lord's realm.",Fantasy,12/17/2003,"Peter Jackson - Fran Walsh - Philippa
Boyens",4:23:15,Peter Jackson,"Elijah Wood - Ian McKellen - Viggo
Mortensen"
"The Lord of the Rings: The Fellowship of
the Ring",WingNut Films,PG-13,2001,8,"Young hobbit Frodo Baggins, after
inheriting a mysterious ring from his
uncle Bilbo, must leave his home in
order to keep it from falling into the
hands of its evil creator. Along the
way, a fellowship is formed to protect
the ringbearer and make sure that the
ring arrives at its final destination:
Mt. Doom, the only place where it can be
destroyed.",Adventure - Fantasy - Action,12/19/2001,"Peter Jackson - Fran Walsh - Philippa
Boyens",1:45:43,Peter Jackson,"Elijah Wood - Ian McKellen - Viggo
Mortensen"
Love Actually,Universal Pictures,R,2003,7,"Follows seemingly unrelated people as
their lives begin to intertwine while
they fall in – and out – of love.
Affections languish and develop as
Christmas draws near.",Comedy - Romance - Drama,11/7/2003,Richard Curtis,2:14:52,Richard Curtis,"Keira Knightley - Heike Makatsch - Emma
Thompson"
Mad Max: Fury Road,Village Roadshow Pictures,R,2015,7.2,"An apocalyptic story set in the furthest
reaches of our planet, in a stark desert
landscape where humanity is broken, and
most everyone is crazed fighting for the
necessities of life. Within this world
exist two rebels on the run who just
might be able to restore order. There's
Max, a man of action and a man of few
words, who seeks peace of mind following
the loss of his wife and child in the
aftermath of the chaos. And Furiosa, a
woman of action and a woman who believes
her path to survival may be achieved if
she can make it across the desert back
to her childhood homeland.",Action - Adventure - Science Fiction,5/7/2015,"Nick Lathouris - George Miller - Brendan
McCarthy",2:00:23,George Miller,"Tom Hardy - Charlize Theron - Nicholas
Hoult"
The Magnificent Seven,Columbia Pictures,PG-13,2016,5.7,"Seven gun men in the old west gradually
come together to help a poor village
against savage thieves.",Adventure - Action - Western,9/23/2016,Nic Pizzolatto - Richard Wenk,2:12:49,Antoine Fuqua,"Denzel Washington - Chris Pratt - Ethan
Hawke"
Maleficent,Walt Disney Pictures,PG,2014,7,"The untold story of Disney's most iconic
villain from the 1959 classic 'Sleeping
Beauty'. A beautiful, pure-hearted young
woman, Maleficent has an idyllic life
growing up in a peaceable forest
kingdom, until one day when an invading
army threatens the harmony of the land.
Maleficent rises to be the land's
fiercest protector, but she ultimately
suffers a ruthless betrayal – an act
that begins to turn her heart into
stone. Bent on revenge, Maleficent faces
an epic battle with the invading King's
successor and, as a result, places a
curse upon his newborn infant Aurora. As
the child grows, Maleficent realizes
that Aurora holds the key to peace in
the kingdom - and to Maleficent's true
happiness as well.",Fantasy - Adventure - Action,5/30/2014,Linda Woolverton,1:37:28,Robert Stromberg,"Angelina Jolie - Elle Fanning - Sharlto
Copley"
Man of Steel,Legendary Pictures,PG-13,2013,6.5,"A young boy learns that he has
extraordinary powers and is not of this
earth. As a young man, he journeys to
discover where he came from and what he
was sent here to do. But the hero in him
must emerge if he is to save the world
from annihilation and become the symbol
of hope for all mankind.",Action - Adventure - Fantasy,6/14/2013,David S. Goyer,2:23:02,Zack Snyder,"Henry Cavill - Amy Adams - Michael
Shannon"
The Martian,Twentieth Century Fox Film Corporation,PG-13,2015,7.6,"During a manned mission to Mars,
Astronaut Mark Watney is presumed dead
after a fierce storm and left behind by
his crew. But Watney has survived and
finds himself stranded and alone on the
hostile planet. With only meager
supplies, he must draw upon his
ingenuity, wit and spirit to subsist and
find a way to signal to Earth that he is
alive.",Drama - Adventure - Science Fiction,9/27/2015,Drew Goddard,2:21:50,Ridley Scott,"Matt Damon - Jessica Chastain - Kristen
Wiig"
The Matrix,Village Roadshow Pictures,R,1999,7.9,"Set in the 22nd century, The Matrix
tells the story of a computer hacker who
joins a group of underground insurgents
fighting the vast and powerful computers
who now rule the earth.",Action - Science Fiction,3/30/1999,Lana Wachowski - Lilly Wachowski,2:16:17,Lilly Wachowski - Lana Wachowski,"Keanu Reeves - Laurence Fishburne -
Carrie-Anne Moss"
The Maze Runner,Ingenious Media,PG-13,2014,7,"Set in a post-apocalyptic world, young
Thomas is deposited in a community of
boys after his memory is erased, soon
learning they're all trapped in a maze
that will require him to join forces
with fellow ""runners"" for a shot at
escape.",Action - Mystery - Science Fiction,9/19/2014,"Grant Pierce Myers - Noah Oppenheim -
T.S. Nowlin",1:53:26,Wes Ball,"Dylan O'Brien - Ki Hong Lee - Kaya
Scodelario"
Maze Runner: The Scorch Trials,Gotham Group,PG-13,2015,6.4,"Thomas and his fellow Gladers face their
greatest challenge yet: searching for
clues about the mysterious and powerful
organization known as WCKD. Their
journey takes them to the Scorch, a
desolate landscape filled with
unimaginable obstacles. Teaming up with
resistance fighters, the Gladers take on
WCKD’s vastly superior forces and
uncover its shocking plans for them all.",Action,9/18/2015,T.S. Nowlin,2:11:32,Wes Ball,"Dylan O'Brien - Kaya Scodelario - Thomas
Brodie-Sangster"
Mechanic: Resurrection,Davis-Films,R,2016,5.2,"Arthur Bishop thought he had put his
murderous past behind him when his most
formidable foe kidnaps the love of his
life. Now he is forced to travel the
globe to complete three impossible
assassinations, and do what he does
best, make them look like accidents.",Action - Crime - Thriller,8/26/2016,"Philip Shelby - Tony Mosher - Rachel
Long",1:38:38,Dennis Gansel,"Jason Statham - Jessica Alba - Tommy Lee
Jones"
Megamind,DreamWorks Animation,PG,2010,6.7,"Bumbling supervillain Megamind finally
defeats his nemesis, the superhero Metro
Man. But without a hero, he loses all
purpose and must find new meaning to his
life.",Animation - Action - Comedy,11/4/2010,Alan J. Schoolcraft - Brent Simons,1:35:34,Tom McGrath,Will Ferrell - Brad Pitt - Tina Fey
Midnight Special,Warner Bros.,PG-13,2016,6.3,"A father and son go on the run after the
dad learns his child possesses special
powers.",Adventure - Drama - Science Fiction,3/12/2016,Jeff Nichols,1:51:57,Jeff Nichols,"Michael Shannon - Jaeden Lieberher -
Joel Edgerton"
Minions,Universal Pictures,PG,2015,6.5,"Minions Stuart, Kevin and Bob are
recruited by Scarlet Overkill, a super-
villain who, alongside her inventor
husband Herb, hatches a plot to take
over the world.",Family - Animation - Adventure,7/10/2015,Brian Lynch,1:30:51,Kyle Balda - Pierre Coffin,"Sandra Bullock - Jon Hamm - Michael
Keaton"
"Miss Peregrine's Home for Peculiar
Children",Ingenious Media,PG-13,2016,6.5,"A teenager finds himself transported to
an island where he must help protect a
group of orphans with special powers
from creatures intent on destroying
them.",Drama - Fantasy - Adventure,9/25/2016,Jane Goldman,2:06:55,Tim Burton,"Eva Green - Asa Butterfield - Samuel L.
Jackson"
Mission: Impossible - Rogue Nation,Paramount Pictures,PG-13,2015,7.1,"Ethan and team take on their most
impossible mission yet, eradicating the
Syndicate - an International rogue
organization as highly skilled as they
are, committed to destroying the IMF.",Action - Adventure - Thriller,7/31/2015,Christopher McQuarrie,2:11:33,Christopher McQuarrie,"Tom Cruise - Rebecca Ferguson - Simon
Pegg"
Moana,Walt Disney Pictures,PG,2016,7.2,"In Ancient Polynesia, when a terrible
curse incurred by Maui reaches an
impetuous Chieftain's daughter's island,
she answers the Ocean's call to seek out
the demigod to set things right.",Adventure - Animation - Comedy,11/14/2016,Jared Bush,1:47:12,Ron Clements - John Musker,"Auli'i Cravalho - Dwayne Johnson -
Rachel House"
Monsters University,Walt Disney Pictures,G,2013,7,"A look at the relationship between Mike
and Sulley during their days at Monsters
University — when they weren't
necessarily the best of friends.",Animation - Family,6/21/2013,"Dan Scanlon - Robert L. Baird - Daniel
Gerson",1:44:17,Dan Scanlon,"Billy Crystal - John Goodman - Steve
Buscemi"
